QCODEID,MCODE,LCODE,RID,FIELDNAME,FROM_DATE,TO_DATE,DATETYPE,QCODE,CONTINUING,SITECODE,DESCRIPTION
841,MA,1,,,29-Oct-1999,03-Nov-1999,R,3611,N,T07,Cattle broke into the station on 29th October. While damage appeared to be minimal a wire was torn from the albedometer and this appeared to affect the operation of several other instruments for reasons which are unclear. Therefore all data removed.
843,MA,1,,,01-Dec-1999,31-Dec-1999,D,3613,N,T07,All data removed whenever batter voltage less than 10 volts due to odd values occuring when there was dull weather i.e. the solar panel not working efficiently.   Wet bulb values removed as the sensor was found to be reading high compared with the dry bulb.
850,MA,1,,WETTMP,01-Jan-2000,31-Mar-2000,R,3618,Y,T07,Still problems with the web bulb sensors.  OK for a period and then drift off so most of the data has been removed for this period.  Have changed the sensors with the dry bulb sensor as it seems to be better sealed against moisture to see if this helps.
2173,MA,1,,,07-Apr-2002,07-Apr-2002,D,3807,N,T07,"At 0800 there is an unusually low soil moisture value recorded together with a low battery voltage recording suggesting some fault.  However, everything around this seems to be OK so the data were left in the database."
2172,MA,1,,,01-Nov-2002,31-Dec-2002,R,3806,N,T07,There was a fault with the albedometer readings.  The albedometer was tested on another logger and the readings were expected.  So there was a fault somewhere in the logger connections probably due to moisture - so these data were removed
2813,MA,1,,,16-Jun-2003,16-Jun-2003,D,3862,N,T07,The sky albedometer dome was found to be slightly damaged by birds on 16 June and was replaced later that day.
2892,MA,1,,,01-Sep-2003,30-Sep-2003,R,3871,N,T07,Some soil moisture records for September removed at site due to low records associated with low battery values.
3712,MA,1,,,09-Mar-2004,09-Mar-2004,D,3645,N,T07,AWS serviced
3795,MA,1,,RAIN,08-Jul-2004,08-Jul-2004,D,3297,N,T07,New raingauge installed.
3794,MA,1,,WSPEED,08-Jul-2004,02-Aug-2004,R,3989,N,T07,"Broken wire on wind speed gauge, data lost."
3796,MA,1,,STMP10,12-Nov-2004,12-Nov-2004,D,3990,N,T07,10cm soil temperature sensor replaced.
4069,MA,1,,SWATER,01-Apr-2005,31-May-2005,R,4101,N,T07,April/May 2005 readings may be suspect - June readings omitted until probe replaced.
4727,MA,1,,,25-Apr-2006,25-Apr-2006,D,4308,Y,T07,"AWS serviced. Some sensors found to be drifting, offsets adjusted to account for this."
5291,MA,1,,,09-Jan-2007,10-Jan-2007,R,4427,N,T07,Missing values around 9/10 January due to the battery going flat in the dull weather.  Soil moisture data still missing for all months.
58,MA,1,,SWATER,27-Oct-1992,10-Jun-1993,R,3011,,T08,"Gypsum block (SWATER) at depth of 25cm (ECN standard is 20cm). Soil water potential and surface water measurements are non-standard, and stored as DATID=4 (fields in DATID=3 set to null"
59,MA,1,,SWATER,10-Jun-1993,10-Jun-1993,D,3012,,T08,"AWS serviced. 1 hour data lost. Gypsum block (SWATER) replaced, new one wetted and located at ECN standard depth of 20cm. Net radiometer domes replaced."
60,MA,1,,SWATER,10-Jun-1993,14-Jun-1993,R,3013,,T08,Gypsum block (SWATER) wetted on 10-JUN-93 - may affect SWATER values for a few days afterwards. (14-JUN-93 set as arbitrary limit).
131,MA,1,,ALBGRD,27-Oct-1992,27-Feb-1995,R,3143,N,T08,Albedo-ground multiplier not optimal at 72.674. Changed to 95.42 on 27-FEB-95. To be back-corrected
132,MA,1,,ALBSKY,27-Oct-1992,27-Feb-1995,R,3144,N,T08,Albedo-sky multiplier not optimal at 87.704. Changed to 97.66 on 27-FEB-95. To be back-corrected
130,MA,1,,NETRAD,03-Mar-1995,03-Mar-1995,D,3142,N,T08,Net Radiometer value -152 out of range. Left in as unusually bright day with snow on ground
200,MA,1,,STMP30,27-Oct-1992,13-Dec-1995,R,3185,N,T08,"Soil thermometer at 30cm checked on 13-DEC-95 and found to be biased by +5.7 degrees! Possible drift error, but unknown start date"
204,MA,1,,WETTMP,13-Dec-1995,13-Dec-1995,D,3189,N,T08,Wet bulb thermometer found to be biased by +0.279 degrees. Logger program altered to correct from 13-DEC-95
205,MA,1,,DRYTMP,13-Dec-1995,13-Dec-1995,D,3190,N,T08,Dry bulb thermometer found to be biased by +0.12 degrees. Logger program altered to correct from 13-DEC-95
780,MA,1,,STMP10,13-Mar-1992,13-Dec-1995,R,3559,N,T08,Soil temperature values suspect from 1992-1995 - instrument error and drift. Values set to null in d1ma_wyt. Original data stored in table suspect_d1ma_wyt.
781,MA,1,,STMP30,13-Mar-1992,13-Dec-1995,R,3559,N,T08,Soil temperature values suspect from 1992-1995 - instrument error and drift. Values set to null in d1ma_wyt. Original data stored in table suspect_d1ma_wyt.
198,MA,1,,SWATER,14-Oct-1995,20-Dec-1995,R,3183,N,T08,Faulty gypsum block removed and replaced with new on 20-DEC_95
199,MA,1,,STMP10,13-Dec-1995,20-Dec-1995,R,3184,N,T08,Faulty soil thermometer removed and replaced with new on 20-DEC-95
